NORAD,Longitude,COSPAR,SATNAME,COUNTRY,LAUNCH,COMPLIANCE
38978,-177.041615,2012-061B,YAMAL 300K,CIS,11/2/12,Yes
33749,-176.9357762,2009-008A,NSS 9,SES,2/12/09,Yes
39206,-176.4625191,2013-036A,MUOS 2,US,7/19/13,No
39070,-174.2521301,2013-004A,TDRS 11,US,1/31/13,Yes
51287,-164.6123959,2021-118E,ASCENT,US,12/7/21,Yes
56371,-162.9914816,2023-060B,ARCTURUS,US,5/1/23,Yes
39256,-154.5054145,2013-050A,AEHF 3 (USA 246),US,9/18/13,Yes
53355,-144.9650161,2022-092A,SBIRS-GEO 6 (USA 336),US,8/4/22,Yes
26580,-139.0128707,2000-067A,AMC-6 (GE-6),SES,10/21/00,Yes
51850,-137.0086269,2022-021A,GOES 18,US,3/1/22,Yes
39222,-135.1830667,2013-041A,WGS 6 (USA 244),US,8/8/13,Yes
52933,-134.9815561,2022-071A,SES 22,SES,6/29/22,Yes
55971,-134.9120856,2023-038B,SES 19,SES,3/17/23,Yes
54026,-133.0026929,2022-128A,GALAXY 33,US,10/8/22,Yes
53961,-130.9165656,2022-123B,SES 21,SES,10/4/22,Yes
27691,-129.5248365,2003-008A,USA 167,US,3/11/03,Yes
42709,-129.1473594,2017-026A,SES 15,SES,5/18/17,Yes
54027,-128.9542712,2022-128B,GALAXY 34,US,10/8/22,Yes
33453,-128.8750647,2008-063A,CIEL-2,CA,12/10/08,Yes
27954,-127.0176766,2003-044A,HORIZONS 1 (GALAXY 13),US,10/1/03,Yes
46114,-125.030545,2020-056C,GALAXY 30,US,8/15/20,Yes
33275,-124.9298181,2008-038B,AMC-21,SES,8/14/08,Yes
26715,-123.8280818,2001-009A,USA 157,US,2/27/01,Yes
32951,-123.0342132,2008-024A,GALAXY 18,US,5/21/08,Yes
55263,-121.8959896,2023-008A,USA 342,US,1/15/23,Yes
27854,-121.0038482,2003-034A,GALAXY 23 (TELSTAR 13),US,8/8/03,Yes
54243,-120.9806363,2022-153A,GALAXY 31,US,11/12/22,Yes
23712,-119.4790594,1995-060A,USA 115,US,11/6/95,Yes
28659,-119.0649863,2005-019A,DIRECTV 8,US,5/22/05,Yes
36499,-118.9142416,2010-010A,ECHOSTAR 14,US,3/20/10,Yes
31102,-118.7345211,2007-009A,ANIK F3,CA,4/9/07,Yes
41589,-117.0029929,2016-038B,EUTE 117W B,EUTE,6/15/16,Yes
39122,-116.8073908,2013-012A,EUTE 117 WEST A(SATMEX 8,EUTE,3/26/13,Yes
39360,-116.1484328,2013-058A,SIRIUS FM-6,US,10/25/13,Yes
37843,-115.1213906,2011-059A,VIASAT 1,US,10/19/11,Yes
40425,-114.9066489,2015-010B,EUTE 115 WEST B(SATMEX 7,EUTE,3/2/15,No
39035,-114.8340996,2012-075B,MEXSAT 3,MEX,12/19/12,Yes
40946,-113.0592738,2015-056A,MORELOS 3,MEX,10/2/15,Yes
29162,-113.0055855,2006-020A,EUTE 113 WEST A(SATMEX 6,EUTE,5/27/06,Yes
56757,-111.7461738,2023-075A,ARABSAT 7B (BADR 8),AB,5/27/23,No
49817,-111.6457235,2021-118A,STPSAT-6,US,12/7/21,Yes
29643,-111.1883012,2006-054A,WILDBLUE 1,US,12/8/06,No
28378,-111.1406367,2004-027A,ANIK F2,CA,7/18/04,Yes
28252,-111.1279623,2004-017A,AMC-11 (GE-11),SES,5/19/04,Yes
35496,-110.9792217,2009-035A,TERRESTAR 1,US,7/1/09,Yes
28935,-110.1711125,2006-003A,ECHOSTAR 10,US,2/15/06,Yes
33207,-110.0194096,2008-035A,ECHOSTAR 11,US,7/16/08,Yes
42070,-109.9083971,2017-014A,ECHOSTAR 23,US,3/16/17,Yes
28868,-107.3279818,2005-036A,ANIK F1-R,CA,9/8/05,Yes
39127,-107.3123722,2013-014A,ANIK G1,CA,4/15/13,Yes
